                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3361,                 2.8692,                 1.6436,                0.57454,                   0.85,                0.87817,                0.63489,                 1.6474,                 1.0703,                 1.3814,                      0,                      0,                      0
                      2,                 1.2042,                 2.6941,                  1.511,                0.56409,                   0.85,                0.84861,                0.63183,                  1.645,                 1.0603,                 1.3718,             9.5438e-07,             9.5438e-07,             9.5438e-07
                      3,                 1.1647,                  3.631,                  1.574,                0.55953,                   0.85,                0.85065,                0.63269,                 1.6664,                  1.061,                 1.3777,             1.4375e-06,             1.4375e-06,             1.4375e-06
                      4,                 1.2805,                 2.7456,                   1.39,                0.55905,                   0.85,                0.84964,                0.61591,                 1.6619,                 1.0536,                 1.3769,             1.4494e-06,             1.4494e-06,             1.4494e-06
                      5,                 1.3766,                 3.1181,                 1.7301,                 0.5639,                   0.85,                0.85526,                 0.6377,                 1.6643,                 1.0435,                 1.3713,             9.9008e-07,             9.9008e-07,             9.9008e-07
